Phrase	IPA	SoundsLike	DisplayAs
悪性腫瘍に伴う貧血		アクセイシュヨウニトモナウヒンケツ	悪性腫瘍に伴う貧血
悪性症候群		アクセイショウコウグン	悪性症候群
悪性小脳腫瘍		アクセイショウノウシュヨウ	悪性小脳腫瘍
悪性神経膠腫		アクセイシンケイコウシュ	悪性神経膠腫
悪性心膜中皮腫		アクセイシンマクチュウヒシュ	悪性心膜中皮腫
悪性縦隔腫瘍		アクセイジュウカクシュヨウ	悪性縦隔腫瘍
悪性腎硬化症		アクセイジンコウカショウ	悪性腎硬化症
悪性膵内分泌腫瘍		アクセイスイナイブンピシュヨウ	悪性膵内分泌腫瘍
悪性髄膜腫		アクセイズイマクシュ	悪性髄膜腫
悪性脊髄腫瘍		アクセイセキズイシュヨウ	悪性脊髄腫瘍
悪性脊髄髄膜腫		アクセイセキズイズイマクシュ	悪性脊髄髄膜腫
悪性組織球症		アクセイソシキキュウショウ	悪性組織球症
悪性組織球症性関節症		アクセイソシキキュウショウセイカンセツショウ	悪性組織球症性関節症
悪性ソマトスタチノーマ		アクセイソマトスタチノーマ	悪性ソマトスタチノーマ
悪性虫垂粘液瘤		アクセイチュウスイネンエキリュウ	悪性虫垂粘液瘤
悪性中皮腫		アクセイチュウヒシュ	悪性中皮腫
悪性停留精巣		アクセイテイリュウセイソウ	悪性停留精巣
悪性頭蓋咽頭腫		アクセイトウガイイントウシュ	悪性頭蓋咽頭腫
悪性軟部腫瘍		アクセイナンブシュヨウ	悪性軟部腫瘍
悪性脳室髄膜腫		アクセイノウシツズイマクシュ	悪性脳室髄膜腫
悪性脳腫瘍		アクセイノウシュヨウ	悪性脳腫瘍
悪性肥満細胞腫		アクセイヒマンサイボウシュ	悪性肥満細胞腫
悪性貧血		アクセイヒンケツ	悪性貧血
悪性腹膜中皮腫		アクセイフクマクチュウヒシュ	悪性腹膜中皮腫
悪性傍神経節腫		アクセイボウシンケイセツシュ	悪性傍神経節腫
悪性末梢神経鞘腫		アクセイマッショウシンケイショウシュ	悪性末梢神経鞘腫
悪性葉状腫瘍		アクセイヨウジョウシュヨウ	悪性葉状腫瘍
悪性ラブドイド腫瘍		アクセイラブドイドシュヨウ	悪性ラブドイド腫瘍
悪性緑内障		アクセイリョクナイショウ	悪性緑内障
悪性リンパ腫		アクセイリンパシュ	悪性リンパ腫
悪性リンパ腫骨髄浸潤		アクセイリンパシュコツズイシンジュン	悪性リンパ腫骨髄浸潤
アクチバトール破損		アクチバトールハソン	アクチバトール破損
アクチバトール不適合		アクチバトールフテキゴウ	アクチバトール不適合
あくび		アクビ	あくび
悪夢		アクム	悪夢
アクロコルドン		アクロコルドン	アクロコルドン
アグレッシブＮＫ細胞白血病		アグレッシブＮＫサイボウハッケツビョウ	アグレッシブＮＫ細胞白血病
朝顔症候群		アサガオショウコウグン	朝顔症候群
麻服仕立工病		アサフクシタテコウビョウ	麻服仕立工病
あざ		アザ	あざ
あざらし肢症		アザラシシショウ	あざらし肢症
足異物		アシイブツ	足異物
足異物・開放創		アシイブツ・カイホウソウ	足異物・開放創
足異物・残留		アシイブツ・ザンリュウ	足異物・残留
足異物・表在損傷		アシイブツ・ヒョウザイソンショウ	足異物・表在損傷
足壊疽		アシエソ	足壊疽
足炎		アシエン	足炎
足開放創		アシカイホウソウ	足開放創
足滑液のう炎		アシカツエキノウエン	足滑液のう炎
足化膿性滑液のう炎		アシカノウセイカツエキノウエン	足化膿性滑液のう炎
足汗疱状白癬		アシカンポウジョウハクセン	足汗疱状白癬
足筋肉痛		アシキンニクツウ	足筋肉痛
足血栓性静脈炎		アシケッセンセイジョウミャクエン	足血栓性静脈炎
足挫創		アシザソウ	足挫創
足湿疹		アシシッシン	足湿疹
足踵部骨折後遺症		アシショウブコッセツコウイショウ	足踵部骨折後遺症
足若年性骨軟骨症		アシジャクネンセイコツナンコツショウ	足若年性骨軟骨症
足褥瘡		アシジョクソウ	足褥瘡
足ストレイン		アシストレイン	足ストレイン
足青色母斑		アシセイショクボハン	足青色母斑
足切創		アシセッソウ	足切創
足切断		アシセツダン	足切断
足損傷		アシソンショウ	足損傷
足第１度熱傷		アシダイ１ドネッショウ	足第１度熱傷
足第２度熱傷		アシダイ２ドネッショウ	足第２度熱傷
足第３度熱傷		アシダイ３ドネッショウ	足第３度熱傷
足陳旧性挫傷		アシチンキュウセイザショウ	足陳旧性挫傷
足爪白癬		アシツメハクセン	足爪白癬
足凍傷		アシトウショウ	足凍傷
アシドーシス		アシドーシス	アシドーシス
足どり不安定		アシドリフアンテイ	足どり不安定
足熱傷		アシネッショウ	足熱傷
足の多発開放骨折		アシノタハツカイホウコッセツ	足の多発開放骨折
足の多発骨折		アシノタハツコッセツ	足の多発骨折
足白癬		アシハクセン	足白癬
足皮下血腫		アシヒカケッシュ	足皮下血腫
足伏針		アシフクシン	足伏針
足扁平母斑		アシヘンペイボハン	足扁平母斑
足蜂巣炎		アシホウソウエン	足蜂巣炎
足母趾腫瘤		アシボシシュリュウ	足母趾腫瘤
足母斑		アシボハン	足母斑
足母斑細胞母斑		アシボハンサイボウボハン	足母斑細胞母斑
アシャール・チール症候群		アシャール・チールショウコウグン	アシャール・チール症候群
足立方骨開放骨折		アシリッポウコツカイホウコッセツ	足立方骨開放骨折
足立方骨骨折		アシリッポウコツコッセツ	足立方骨骨折
足立方骨骨挫傷		アシリッポウコツコツザショウ	足立方骨骨挫傷
足立方骨剥離骨折		アシリッポウコツハクリコッセツ	足立方骨剥離骨折
アジアコレラ		アジアコレラ	アジアコレラ
アジアスピロミセス症		アジアスピロミセスショウ	アジアスピロミセス症
アジソン病		アジソンビョウ	アジソン病
アスパルチルグルコサミン尿症		アスパルチルグルコサミンニョウショウ	アスパルチルグルコサミン尿症
アスピリンじんま疹		アスピリンジンマシン	アスピリンじんま疹
アスピリン喘息		アスピリンゼンソク	アスピリン喘息
アスピリン中毒		アスピリンチュウドク	アスピリン中毒
アスピリン不耐症		アスピリンフタイショウ	アスピリン不耐症
アスペルガー症候群		アスペルガーショウコウグン	アスペルガー症候群
アスペルギルス腫		アスペルギルスシュ	アスペルギルス腫
アスペルギルス症		アスペルギルスショウ	アスペルギルス症
アスペルギルス症性外耳炎		アスペルギルスショウセイガイジエン	アスペルギルス症性外耳炎
アセトアミノフェン中毒		アセトアミノフェンチュウドク	アセトアミノフェン中毒
アセトン血症		アセトンケッショウ	アセトン血症
アセトン血性嘔吐症		アセトンケッセイオウトショウ	アセトン血性嘔吐症
アセトン尿症		アセトンニョウショウ	アセトン尿症
アタッチメント脱離		アタッチメントダツリ	アタッチメント脱離
アタッチメント破損		アタッチメントハソン	アタッチメント破損
アタッチメント不適合		アタッチメントフテキゴウ	アタッチメント不適合
頭じらみ症		アタマジラミショウ	頭じらみ症
アダイア・ダイトン症候群		アダイア・ダイトンショウコウグン	アダイア・ダイトン症候群
亜脱臼		アダッキュウ	亜脱臼
亜脱臼性神経管狭窄症		アダッキュウセイシンケイカンキョウサクショウ	亜脱臼性神経管狭窄症
亜脱臼性椎間孔狭窄症		アダッキュウセイツイカンコウキョウサクショウ	亜脱臼性椎間孔狭窄症
アダムス・ストークス症候群		アダムス・ストークスショウコウグン	アダムス・ストークス症候群
アダムス・ストークス発作		アダムス・ストークスホッサ	アダムス・ストークス発作
圧潰脊椎		アッカイセキツイ	圧潰脊椎
アッシャー症候群		アッシャーショウコウグン	アッシャー症候群
アッシャーマン症候群		アッシャーマンショウコウグン	アッシャーマン症候群
圧縮胎児		アッシュクタイジ	圧縮胎児
圧痛		アッツウ	圧痛
圧迫顔面		アッパクガンメン	圧迫顔面
圧迫骨折		アッパクコッセツ	圧迫骨折
圧迫神経炎		アッパクシンケイエン	圧迫神経炎
圧迫性潰瘍		アッパクセイカイヨウ	圧迫性潰瘍
圧迫性脊髄炎		アッパクセイセキズイエン	圧迫性脊髄炎
アップルピール症候群		アップルピールショウコウグン	アップルピール症候群
圧挫後遺症		アツザコウイショウ	圧挫後遺症
圧挫傷		アツザショウ	圧挫傷
圧挫創		アツザソウ	圧挫創
アテトーシス		アテトーシス	アテトーシス
アテトーシス型脳性麻痺		アテトーシスガタノウセイマヒ	アテトーシス型脳性麻痺
アテトーゼ型四肢麻痺		アテトーゼガタシシマヒ	アテトーゼ型四肢麻痺
アテローム		アテローム	アテローム
アテローム化膿		アテロームカノウ	アテローム化膿
アテローム血栓性脳梗塞		アテロームケッセンセイノウコウソク	アテローム血栓性脳梗塞
アテローム血栓性脳梗塞・急性期		アテロームケッセンセイノウコウソク・キュウセイキ	アテローム血栓性脳梗塞・急性期
アテローム血栓性脳梗塞・慢性期		アテロームケッセンセイノウコウソク・マンセイキ	アテローム血栓性脳梗塞・慢性期
アテローム動脈硬化症		アテロームドウミャクコウカショウ	アテローム動脈硬化症
アディー瞳孔		アディードウコウ	アディー瞳孔
アデニンホスホリボシルトランスフェラーゼ欠損症		アデニンホスホリボシルトランスフェラーゼケッソンショウ	アデニンホスホリボシルトランスフェラーゼ欠損症
アデノイド咽頭炎		アデノイドイントウエン	アデノイド咽頭炎
アデノイド増殖症		アデノイドゾウショクショウ	アデノイド増殖症
アデノイド肥大		アデノイドヒダイ	アデノイド肥大
アデノイド肥大を伴う扁桃肥大		アデノイドヒダイヲトモナウヘントウヒダイ	アデノイド肥大を伴う扁桃肥大
アデノイド扁桃炎		アデノイドヘントウエン	アデノイド扁桃炎
アデノウイルス咽頭炎		アデノウイルスイントウエン	アデノウイルス咽頭炎
アデノウイルス感染症		アデノウイルスカンセンショウ	アデノウイルス感染症
アデノウイルス結膜炎		アデノウイルスケツマクエン	アデノウイルス結膜炎
アデノウイルス髄膜炎		アデノウイルスズイマクエン	アデノウイルス髄膜炎
アデノウイルス髄膜脳炎		アデノウイルスズイマクノウエン	アデノウイルス髄膜脳炎
アデノウイルス脊髄炎		アデノウイルスセキズイエン	アデノウイルス脊髄炎
アデノウイルス腸炎		アデノウイルスチョウエン	アデノウイルス腸炎
アデノウイルス脳炎		アデノウイルスノウエン	アデノウイルス脳炎
アデノウイルス脳脊髄炎		アデノウイルスノウセキズイエン	アデノウイルス脳脊髄炎
アデノウイルス肺炎		アデノウイルスハイエン	アデノウイルス肺炎
アデノウイルス扁桃炎		アデノウイルスヘントウエン	アデノウイルス扁桃炎
アトニー性非特異性てんかん発作		アトニーセイヒトクイセイテンカンホッサ	アトニー性非特異性てんかん発作
アトピー咳嗽		アトピーガイソウ	アトピー咳嗽
アトピー性角結膜炎		アトピーセイカクケツマクエン	アトピー性角結膜炎
アトピー性紅皮症		アトピーセイコウヒショウ	アトピー性紅皮症
アトピー性湿疹		アトピーセイシッシン	アトピー性湿疹
アトピー性神経皮膚炎		アトピーセイシンケイヒフエン	アトピー性神経皮膚炎
アトピー性脊髄炎		アトピーセイセキズイエン	アトピー性脊髄炎
アトピー性喘息		アトピーセイゼンソク	アトピー性喘息
アトピー性白内障		アトピーセイハクナイショウ	アトピー性白内障
アトピー性皮膚炎		アトピーセイヒフエン	アトピー性皮膚炎
アトピー皮膚		アトピーヒフ	アトピー皮膚
アドリアマイシン心筋症		アドリアマイシンシンキンショウ	アドリアマイシン心筋症
アナフィラキシー		アナフィラキシー	アナフィラキシー
アナフィラキシーショック		アナフィラキシーショック	アナフィラキシーショック
アニサキスアレルギー		アニサキスアレルギー	アニサキスアレルギー
アニサキス症		アニサキスショウ	アニサキス症
アニサキス幼虫感染症		アニサキスヨウチュウカンセンショウ	アニサキス幼虫感染症
アニリン中毒		アニリンチュウドク	アニリン中毒
アノー・ショパール症候群		アノー・ショパールショウコウグン	アノー・ショパール症候群
アフタ性アンギナ		アフタセイアンギナ	アフタ性アンギナ
アフタ性咽頭炎		アフタセイイントウエン	アフタ性咽頭炎
アフタ性口内炎		アフタセイコウナイエン	アフタ性口内炎
アフラトキシン中毒		アフラトキシンチュウドク	アフラトキシン中毒
アフリカ型ヒストプラスマ症		アフリカガタヒストプラスマショウ	アフリカ型ヒストプラスマ症
アフリカダニチフス		アフリカダニチフス	アフリカダニチフス
アフリカトリパノソーマ症		アフリカトリパノソーマショウ	アフリカトリパノソーマ症
アフリカトリパノソーマ症髄膜炎		アフリカトリパノソーマショウズイマクエン	アフリカトリパノソーマ症髄膜炎
アフリカトリパノソーマ症脊髄炎		アフリカトリパノソーマショウセキズイエン	アフリカトリパノソーマ症脊髄炎
アフリカトリパノソーマ症脳炎		アフリカトリパノソーマショウノウエン	アフリカトリパノソーマ症脳炎
アフリカトリパノソーマ症脳脊髄炎		アフリカトリパノソーマショウノウセキズイエン	アフリカトリパノソーマ症脳脊髄炎
アブサンス		アブサンス	アブサンス
アブシント血症		アブシントケッショウ	アブシント血症
アブシント中毒症		アブシントチュウドクショウ	アブシント中毒症
アプラタキシン欠損症		アプラタキシンケッソンショウ	アプラタキシン欠損症
アヘン中毒		アヘンチュウドク	アヘン中毒
アヘン類使用による急性精神・行動障害		アヘンルイシヨウニヨルキュウセイセイシン・コウドウショウガイ	アヘン類使用による急性精神・行動障害
アペール症候群		アペールショウコウグン	アペール症候群
アポクリン汗疹		アポクリンカンシン	アポクリン汗疹
アポクリン汗腺の障害		アポクリンカンセンノショウガイ	アポクリン汗腺の障害
アポクリン汗のう腫		アポクリンカンノウシュ	アポクリン汗のう腫
アポクリン腺癌		アポクリンセンガン	アポクリン腺癌
アマルガム過高		アマルガムカコウ	アマルガム過高
アマルガム粗造		アマルガムソゾウ	アマルガム粗造
アマルガム脱離		アマルガムダツリ	アマルガム脱離
アマルガム低位		アマルガムテイイ	アマルガム低位
アマルガム破損		アマルガムハソン	アマルガム破損
アマルガム不適合		アマルガムフテキゴウ	アマルガム不適合
アマンタジン中毒		アマンタジンチュウドク	アマンタジン中毒
アミノ酸異常		アミノサンイジョウ	アミノ酸異常
アミノ酸欠乏症		アミノサンケツボウショウ	アミノ酸欠乏症
アミノ酸欠乏性貧血		アミノサンケツボウセイヒンケツ	アミノ酸欠乏性貧血
アミノ酸代謝異常症		アミノサンタイシャイジョウショウ	アミノ酸代謝異常症
アミノ酸尿症		アミノサンニョウショウ	アミノ酸尿症
アミラーゼ欠損症		アミラーゼケッソンショウ	アミラーゼ欠損症
アミルアルコール中毒		アミルアルコールチュウドク	アミルアルコール中毒
アミロイドーシス		アミロイドーシス	アミロイドーシス
アミロイドーシス関節炎		アミロイドーシスカンセツエン	アミロイドーシス関節炎
アミロイド性自律神経ニューロパチー		アミロイドセイジリツシンケイニューロパチー	アミロイド性自律神経ニューロパチー
アミロイド苔癬		アミロイドタイセン	アミロイド苔癬
アミロイドニューロパチー		アミロイドニューロパチー	アミロイドニューロパチー
アミロイドポリニューロパチー		アミロイドポリニューロパチー	アミロイドポリニューロパチー
アミロイド緑内障		アミロイドリョクナイショウ	アミロイド緑内障
アメーバ症		アメーバショウ	アメーバ症
アメーバ症性呼吸器障害		アメーバショウセイコキュウキショウガイ	アメーバ症性呼吸器障害
アメーバ性肝膿瘍		アメーバセイカンノウヨウ	アメーバ性肝膿瘍
アメーバ性亀頭炎		アメーバセイキトウエン	アメーバ性亀頭炎
アメーバ性虫垂炎		アメーバセイチュウスイエン	アメーバ性虫垂炎
アメーバ性肉芽腫		アメーバセイニクゲシュ	アメーバ性肉芽腫
アメーバ性肉芽腫性脳炎		アメーバセイニクゲシュセイノウエン	アメーバ性肉芽腫性脳炎
アメーバ性脳膿瘍		アメーバセイノウノウヨウ	アメーバ性脳膿瘍
アメーバ性肺膿瘍		アメーバセイハイノウヨウ	アメーバ性肺膿瘍
アメーバ性非赤痢性大腸炎		アメーバセイヒセキリセイダイチョウエン	アメーバ性非赤痢性大腸炎
アメーバ性皮膚潰瘍		アメーバセイヒフカイヨウ	アメーバ性皮膚潰瘍
アメーバ赤痢		アメーバセキリ	アメーバ赤痢
アメリカ鉤虫症		アメリカコウチュウショウ	アメリカ鉤虫症
アラジール症候群		アラジールショウコウグン	アラジール症候群
アラン・ハーンドン・ダドリー症候群		アラン・ハーンドン・ダドリーショウコウグン	アラン・ハーンドン・ダドリー症候群
有馬症候群		アリマショウコウグン	有馬症候群
亜硫酸酸化酵素欠損症		アリュウサンサンカコウソケッソンショウ	亜硫酸酸化酵素欠損症
アルカプトン尿症		アルカプトンニョウショウ	アルカプトン尿症
アルカプトン尿性関節症		アルカプトンニョウセイカンセツショウ	アルカプトン尿性関節症
アルカリ血症		アルカリケッショウ	アルカリ血症
アルカリ刺激性接触皮膚炎		アルカリシゲキセイセッショクヒフエン	アルカリ刺激性接触皮膚炎
アルカリ性食道炎		アルカリセイショクドウエン	アルカリ性食道炎
アルカリ尿症		アルカリニョウショウ	アルカリ尿症
アルカリ腐蝕		アルカリフショク	アルカリ腐蝕
アルカリホスファターゼ値異常		アルカリホスファターゼチイジョウ	アルカリホスファターゼ値異常
アルカローシス		アルカローシス	アルカローシス
アルギニノコハク酸尿症		アルギニノコハクサンニョウショウ	アルギニノコハク酸尿症
アルコール依存症		アルコールイゾンショウ	アルコール依存症
アルコール幻覚症		アルコールゲンカクショウ	アルコール幻覚症
アルコール性胃炎		アルコールセイイエン	アルコール性胃炎
アルコール性肝炎		アルコールセイカンエン	アルコール性肝炎
アルコール性肝硬変		アルコールセイカンコウヘン	アルコール性肝硬変
アルコール性肝硬変に伴う食道静脈瘤		アルコールセイカンコウヘンニトモナウショクドウジョウミャクリュウ	アルコール性肝硬変に伴う食道静脈瘤
アルコール性肝硬変に伴う食道静脈瘤出血		アルコールセイカンコウヘンニトモナウショクドウジョウミャクリュウシュッケツ	アルコール性肝硬変に伴う食道静脈瘤出血
アルコール性肝疾患		アルコールセイカンシッカン	アルコール性肝疾患
アルコール性肝障害		アルコールセイカンショウガイ	アルコール性肝障害
アルコール性肝線維症		アルコールセイカンセンイショウ	アルコール性肝線維症
アルコール性肝不全		アルコールセイカンフゼン	アルコール性肝不全
アルコール性急性膵炎		アルコールセイキュウセイスイエン	アルコール性急性膵炎
アルコール性偽性クッシング症候群		アルコールセイギセイクッシングショウコウグン	アルコール性偽性クッシング症候群
アルコール性コルサコフ症候群		アルコールセイコルサコフショウコウグン	アルコール性コルサコフ症候群
アルコール性残遺性感情障害		アルコールセイザンイセイカンジョウショウガイ	アルコール性残遺性感情障害
アルコール性視神経障害		アルコールセイシシンケイショウガイ	アルコール性視神経障害
アルコール性嫉妬		アルコールセイシット	アルコール性嫉妬
アルコール性脂肪肝		アルコールセイシボウカン	アルコール性脂肪肝
アルコール性小脳性運動失調症		アルコールセイショウノウセイウンドウシッチョウショウ	アルコール性小脳性運動失調症
アルコール性心筋症		アルコールセイシンキンショウ	アルコール性心筋症
アルコール性神経筋障害		アルコールセイシンケイキンショウガイ	アルコール性神経筋障害
アルコール性持続性認知障害		アルコールセイジゾクセイニンチショウガイ	アルコール性持続性認知障害
アルコール性精神病		アルコールセイセイシンビョウ	アルコール性精神病
アルコール性躁病		アルコールセイソウビョウ	アルコール性躁病
アルコール性多発性神経炎性精神病		アルコールセイタハツセイシンケイエンセイセイシンビョウ	アルコール性多発性神経炎性精神病
アルコール性多発ニューロパチー		アルコールセイタハツニューロパチー	アルコール性多発ニューロパチー
アルコール性遅発性精神病性障害		アルコールセイチハツセイセイシンビョウセイショウガイ	アルコール性遅発性精神病性障害
アルコール性遅発性パーソナリティ障害		アルコールセイチハツセイパーソナリティショウガイ	アルコール性遅発性パーソナリティ障害
アルコール性認知症		アルコールセイニンチショウ	アルコール性認知症
アルコール性脳症		アルコールセイノウショウ	アルコール性脳症
アルコール性脳症候群		アルコールセイノウショウコウグン	アルコール性脳症候群
アルコール性脳変性		アルコールセイノウヘンセイ	アルコール性脳変性
アルコール性フラッシュバック		アルコールセイフラッシュバック	アルコール性フラッシュバック
アルコール性ペラグラ		アルコールセイペラグラ	アルコール性ペラグラ
アルコール性慢性膵炎		アルコールセイマンセイスイエン	アルコール性慢性膵炎
アルコール性ミオパチー		アルコールセイミオパチー	アルコール性ミオパチー
アルコール性妄想		アルコールセイモウソウ	アルコール性妄想
アルコール中毒せん妄		アルコールチュウドクセンモウ	アルコール中毒せん妄
アルコールてんかん		アルコールテンカン	アルコールてんかん
アルコールの毒作用		アルコールノドクサヨウ	アルコールの毒作用
アルコール乱用		アルコールランヨウ	アルコール乱用
アルコール離脱状態		アルコールリダツジョウタイ	アルコール離脱状態
アルコール離脱せん妄		アルコールリダツセンモウ	アルコール離脱せん妄
アルゼンチン出血熱		アルゼンチンシュッケツネツ	アルゼンチン出血熱
アルダー異常		アルダーイジョウ	アルダー異常
アルツハイマー型初老期認知症		アルツハイマーガタショロウキニンチショウ	アルツハイマー型初老期認知症
アルツハイマー型認知症		アルツハイマーガタニンチショウ	アルツハイマー型認知症
アルツハイマー型非定型認知症		アルツハイマーガタヒテイケイニンチショウ	アルツハイマー型非定型認知症
アルツハイマー型老年認知症		アルツハイマーガタロウネンニンチショウ	アルツハイマー型老年認知症
アルツハイマー病		アルツハイマービョウ	アルツハイマー病
アルドステロン合成酵素欠損症		アルドステロンゴウセイコウソケッソンショウ	アルドステロン合成酵素欠損症
アルドステロン産生腫瘍		アルドステロンサンセイシュヨウ	アルドステロン産生腫瘍
アルパース病		アルパースビョウ	アルパース病
アルファ−アンチトリプシン欠損症		アルファ−アンチトリプシンケッソンショウ	アルファ−アンチトリプシン欠損症
α−マンノシドーシス		アルファ−マンノシドーシス	α−マンノシドーシス
α１−アンチトリプシン欠乏症		アルファ１−アンチトリプシンケツボウショウ	α１−アンチトリプシン欠乏症
アルファ２マクログロブリン欠損症		アルファ２マクログロブリンケッソンショウ	アルファ２マクログロブリン欠損症
アルファサラセミア		アルファサラセミア	アルファサラセミア
アルファ重鎖病		アルファジュウサビョウ	アルファ重鎖病
アルファリポ蛋白欠乏症		アルファリポタンパクケツボウショウ	アルファリポ蛋白欠乏症
アルブミン尿		アルブミンニョウ	アルブミン尿
アルプス病		アルプスビョウ	アルプス病
アルボウイルス感染症		アルボウイルスカンセンショウ	アルボウイルス感染症
アルボウイルス脳炎		アルボウイルスノウエン	アルボウイルス脳炎
アルポート症候群		アルポートショウコウグン	アルポート症候群
アルミニウム骨症		アルミニウムコツショウ	アルミニウム骨症
アルミニウム肺症		アルミニウムハイショウ	アルミニウム肺症
アレキサンダー病		アレキサンダービョウ	アレキサンダー病
アレシェリア症		アレシェリアショウ	アレシェリア症
アレナウイルス出血熱		アレナウイルスシュッケツネツ	アレナウイルス出血熱
アレルギー		アレルギー	アレルギー
アレルギー性胃炎		アレルギーセイイエン	アレルギー性胃炎
アレルギー性胃腸炎		アレルギーセイイチョウエン	アレルギー性胃腸炎
アレルギー性角膜炎		アレルギーセイカクマクエン	アレルギー性角膜炎
アレルギー性関節炎		アレルギーセイカンセツエン	アレルギー性関節炎
アレルギー性肝臓症		アレルギーセイカンゾウショウ	アレルギー性肝臓症
アレルギー性外耳道炎		アレルギーセイガイジドウエン	アレルギー性外耳道炎
アレルギー性咳嗽		アレルギーセイガイソウ	アレルギー性咳嗽
アレルギー性眼瞼炎		アレルギーセイガンケンエン	アレルギー性眼瞼炎
アレルギー性眼瞼縁炎		アレルギーセイガンケンエンエン	アレルギー性眼瞼縁炎
アレルギー性気管支炎		アレルギーセイキカンシエン	アレルギー性気管支炎
アレルギー性気管支肺アスペルギルス症		アレルギーセイキカンシハイアスペルギルスショウ	アレルギー性気管支肺アスペルギルス症
アレルギー性気管支肺カンジダ症		アレルギーセイキカンシハイカンジダショウ	アレルギー性気管支肺カンジダ症
アレルギー性気管支肺真菌症		アレルギーセイキカンシハイシンキンショウ	アレルギー性気管支肺真菌症
アレルギー性血管炎		アレルギーセイケッカンエン	アレルギー性血管炎
アレルギー性血尿		アレルギーセイケツニョウ	アレルギー性血尿
アレルギー性結膜炎		アレルギーセイケツマクエン	アレルギー性結膜炎
アレルギー性下痢		アレルギーセイゲリ	アレルギー性下痢
アレルギー性好酸球増加症		アレルギーセイコウサンキュウゾウカショウ	アレルギー性好酸球増加症
アレルギー性口内炎		アレルギーセイコウナイエン	アレルギー性口内炎
アレルギー性湿疹		アレルギーセイシッシン	アレルギー性湿疹
アレルギー性じんま疹		アレルギーセイジンマシン	アレルギー性じんま疹
アレルギー性接触皮膚炎		アレルギーセイセッショクヒフエン	アレルギー性接触皮膚炎
アレルギー性中耳炎		アレルギーセイチュウジエン	アレルギー性中耳炎
アレルギー性肺炎		アレルギーセイハイエン	アレルギー性肺炎
アレルギー性皮膚炎		アレルギーセイヒフエン	アレルギー性皮膚炎
アレルギー性鼻咽頭炎		アレルギーセイビイントウエン	アレルギー性鼻咽頭炎
アレルギー性鼻炎		アレルギーセイビエン	アレルギー性鼻炎
アレルギー性鼻結膜炎		アレルギーセイビケツマクエン	アレルギー性鼻結膜炎
アレルギー性鼻副鼻腔炎		アレルギーセイビフクビクウエン	アレルギー性鼻副鼻腔炎
アレルギー性副鼻腔炎		アレルギーセイフクビクウエン	アレルギー性副鼻腔炎
アレルギー性浮腫		アレルギーセイフシュ	アレルギー性浮腫
アレルギー性ぶどう膜炎		アレルギーセイブドウマクエン	アレルギー性ぶどう膜炎
アレルギー性膀胱炎		アレルギーセイボウコウエン	アレルギー性膀胱炎
アワビアレルギー		アワビアレルギー	アワビアレルギー
アンギナ		アンギナ	アンギナ
鞍結節部悪性髄膜腫		アンケッセツブアクセイズイマクシュ	鞍結節部悪性髄膜腫
鞍結節部髄膜腫		アンケッセツブズイマクシュ	鞍結節部髄膜腫
アンジェルマン症候群		アンジェルマンショウコウグン	アンジェルマン症候群
鞍状歯列弓		アンジョウシレツキュウ	鞍状歯列弓
鞍上部腫瘍		アンジョウブシュヨウ	鞍上部腫瘍
鞍上部胚細胞腫瘍		アンジョウブハイサイボウシュヨウ	鞍上部胚細胞腫瘍
安静時狭心症		アンセイジキョウシンショウ	安静時狭心症
アンダーソン病		アンダーソンビョウ	アンダーソン病
アンチトロンビンＩＩＩ欠乏症		アンチトロンビン３ケツボウショウ	アンチトロンビンＩＩＩ欠乏症
アンチトロンビン欠乏症		アンチトロンビンケツボウショウ	アンチトロンビン欠乏症
アンチモン中毒		アンチモンチュウドク	アンチモン中毒
安定型糖尿病		アンテイガタトウニョウビョウ	安定型糖尿病
安定狭心症		アンテイキョウシンショウ	安定狭心症
暗点		アンテン	暗点
暗点発作		アンテンホッサ	暗点発作
アントレー・ビクスラー症候群		アントレー・ビクスラーショウコウグン	アントレー・ビクスラー症候群
アントン症候群		アントンショウコウグン	アントン症候群
アンドロゲン過剰症		アンドロゲンカジョウショウ	アンドロゲン過剰症
アンドロゲン抵抗性症候群		アンドロゲンテイコウセイショウコウグン	アンドロゲン抵抗性症候群
アンドロゲン不応症		アンドロゲンフオウショウ	アンドロゲン不応症
鞍鼻		アンビ	鞍鼻
アンフェタミン依存		アンフェタミンイゾン	アンフェタミン依存
アンフェタミン使用による急性精神・行動障害		アンフェタミンシヨウニヨルキュウセイセイシン・コウドウショウガイ	アンフェタミン使用による急性精神・行動障害
アンフェタミン中毒		アンフェタミンチュウドク	アンフェタミン中毒
アンフェタミン乱用		アンフェタミンランヨウ	アンフェタミン乱用
アンモニア性皮膚炎		アンモニアセイヒフエン	アンモニア性皮膚炎
アヴェリス症候群		アヴェリスショウコウグン	アヴェリス症候群
イートン・ランバート症候群		イートン・ランバートショウコウグン	イートン・ランバート症候群
胃ＭＡＬＴリンパ腫		イＭＡＬＴリンパシュ	胃ＭＡＬＴリンパ腫
胃悪性間葉系腫瘍		イアクセイカンヨウケイシュヨウ	胃悪性間葉系腫瘍
胃悪性黒色腫		イアクセイコクショクシュ	胃悪性黒色腫
胃悪性リンパ腫		イアクセイリンパシュ	胃悪性リンパ腫
胃アニサキス症		イアニサキスショウ	胃アニサキス症
胃アミロイドーシス		イアミロイドーシス	胃アミロイドーシス
